Measure Name,Year,Period,Value
Unemployment Rate (Toronto Residents),2009,May,0.0977
Unemployment Rate (Toronto Residents),2009,Jun,0.1019
Unemployment Rate (Toronto Residents),2009,Jul,0.1082
Unemployment Rate (Toronto Residents),2009,Aug,0.1093
Unemployment Rate (Toronto Residents),2009,Sep,0.1063
Unemployment Rate (Toronto Residents),2009,Oct,0.1024
Unemployment Rate (Toronto Residents),2009,Nov,0.1024
Unemployment Rate (Toronto Residents),2009,Dec,0.1015
Unemployment Rate (Toronto Residents),2010,Jan,0.101
Unemployment Rate (Toronto Residents),2010,Feb,0.0982
Unemployment Rate (Toronto Residents),2010,Mar,0.0988
Unemployment Rate (Toronto Residents),2010,Apr,0.1008
Unemployment Rate (Toronto Residents),2010,May,0.1031
Unemployment Rate (Toronto Residents),2010,Jun,0.1038
Unemployment Rate (Toronto Residents),2010,Jul,0.0992
Unemployment Rate (Toronto Residents),2010,Aug,0.101
Unemployment Rate (Toronto Residents),2010,Sep,0.103
Unemployment Rate (Toronto Residents),2010,Oct,0.1058
Unemployment Rate (Toronto Residents),2010,Nov,0.1022
Unemployment Rate (Toronto Residents),2010,Dec,0.0993
Unemployment Rate (Toronto Residents),2011,Jan,0.098
Unemployment Rate (Toronto Residents),2011,Feb,0.0937
Unemployment Rate (Toronto Residents),2011,Mar,0.0935
Unemployment Rate (Toronto Residents),2011,Apr,0.093
Unemployment Rate (Toronto Residents),2011,May,0.0957
Unemployment Rate (Toronto Residents),2011,Jun,0.0938
Unemployment Rate (Toronto Residents),2011,Jul,0.0924
Unemployment Rate (Toronto Residents),2011,Aug,0.0903
Unemployment Rate (Toronto Residents),2011,Sep,0.0894
Unemployment Rate (Toronto Residents),2011,Oct,0.0896
Unemployment Rate (Toronto Residents),2011,Nov,0.0905
Unemployment Rate (Toronto Residents),2011,Dec,0.0906
Unemployment Rate (Toronto Residents),2012,Jan,0.096
Unemployment Rate (Toronto Residents),2012,Feb,0.0949
Unemployment Rate (Toronto Residents),2012,Mar,0.0976
Unemployment Rate (Toronto Residents),2012,Apr,0.0965
Unemployment Rate (Toronto Residents),2012,May,0.1009
Unemployment Rate (Toronto Residents),2012,Jun,0.1006
Unemployment Rate (Toronto Residents),2012,Jul,0.0998
Unemployment Rate (Toronto Residents),2012,Aug,0.0985
Unemployment Rate (Toronto Residents),2012,Sep,0.0978
Unemployment Rate (Toronto Residents),2012,Oct,0.098
Unemployment Rate (Toronto Residents),2012,Nov,0.0968
Unemployment Rate (Toronto Residents),2012,Dec,0.0968
Unemployment Rate (Toronto Residents),2013,Jan,0.0949
Unemployment Rate (Toronto Residents),2013,Feb,0.0939
Unemployment Rate (Toronto Residents),2013,Mar,0.0914
Unemployment Rate (Toronto Residents),2013,Apr,0.0897
Unemployment Rate (Toronto Residents),2013,May,0.0859
Unemployment Rate (Toronto Residents),2013,Jun,0.0852
Unemployment Rate (Toronto Residents),2013,Jul,0.0832
Unemployment Rate (Toronto Residents),2013,Aug,0.0819
Unemployment Rate (Toronto Residents),2013,Sep,0.0829
Unemployment Rate (Toronto Residents),2013,Oct,0.0863
Unemployment Rate (Toronto Residents),2013,Nov,0.0925
